No,Reference,SMP name,Smiles,Molar ratio,Tg,Rubbery modulus
1,"Castro et al. 
2010[1]",tba & PEGDMA,"{C=C(C)C(=O)OCCCC, C=C(C)C(=O)OCCOC(=O)C(=C)C}",0.61:0.39,49.36,4
2,Cuminet et al 2023[2],vm-RvOH,"{C(=C\c3cc(OCC1CO1)cc(OCC2CO2)c3)/c5ccc(OCC4CO4)cc5, O=C(O)C(F)(F)Oc2ccc(/C=C/c1cc(OC(F)(F)C(=O)O)cc(OC(F)(F)C(=O)O)c1)cc2}",0.5:0.5,117,46
3,Yakacki et al 2008[3],MMA-co-PEGDMA,"{C=C(C)C(=O)OC, C=C(C)C(=O)OCCOC(=O)C(=C)C}",0.91:0.09,56,12.6
4,"Wu et al, 2019[5]",DLP SMP #3,"{C=C(C)C(=O)OCCCC, C=CC(=O)OCCCCCCOC(=O)C=C}",0.8:0.2,58.8,46.7
5,"Liu et al, 2006[6]", P(MMA-co-VP)/PEG,"{C=C(C)C(=O)OCCCC, C=CN1CCCC1=O, C=C(C)C(=O)OCCOC(=O)C(C)C}",0.34:0.21:0.45,72,6.827
6,"Xiao et al, 2015[7]",Polymide,"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.5:0.5,238,7.6
7,"Lin and Chen,1999[10]",A1,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, C=C(C)CCCCC(=O)O}",0.55:0.27:0.18,10.79,1.4
8,"Nair et al., 2010[12]",TMPTMP/TATATO,"{CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS, C=CCn1c(=C)n(CC=C)c(=O)n(CC=C)c1=O}",0.5:0.5,36,18
9,"Barszczewska et al, 2017[13]",MMA-co-TEGDMA,"{C=C(C)C(=O)OC, C=C(C)C(=C)OCCOC(=C)C(=C)C}",1.0:0.0,126.1,1.02
10,"Zheng et al, 2015 [16]",EPON1,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N}",0.5:0.5,40,4
