No,Reference,SMPname,Smiles,Molar ratio,Tg,Low Temp
1,"Liu et al, 2006[6]", P(MMA-co-VP)/PEG,"{C=C(C)C(=O)OCCCC, C=CN1CCCC1=O, C=C(C)C(=O)OCCOC(=O)C(C)C}",0.34:0.21:0.45,72,52
2,"Xiao et al, 2015[7]",Polymide,"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.5:0.5,238,218
3,"Choong et al , 2016[11]",tba-DEGDA(60-40),"{C=C(C)C(=O)OCCCC, C=CC(=O)OCCOCCOC(=O)C=C}",0.71:0.29,69.5,42.62
4,"Nair et al., 2010[12]",TMPTMP/TATATO,"{CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS, C=CCn1c(=C)n(CC=C)c(=O)n(CC=C)c1=O}",0.5:0.5,36,25.39
5,"Arrietta et al , 2013[14]",Acrylate Polymer,"{C=C(C)C(=O)OCC1CCCCC1, C=C(C)C(=O)OCCOC(=O)C(=C)C}",0.9:0.1,46,39.63
6,"Zheng et al, 2015 [16]",EPON1,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N}",0.5:0.5,40,51.58
7,"Jo et al, 2019 [17]",ESMP-0-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.73:0.27,140,100
8,"Jo et al, 2019 [17]",ESMP-0-19,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.75:0.25,125.9,85.9
9,"Choong et al , 2016[19]",tba-DEGDA(90-10),"{C=C(C)C(=O)OCCCC, C=CC(=O)OCCOCCOC(=O)C=C}",0.94:0.06,53.9,31.52
10,"Choong et al , 2016[19]",tba-DEGDA(50-50),"{C=C(C)C(=O)OCCCC, C=CC(=O)OCCOCCOC(=O)C=C}",0.63:0.37,74.1,40.15
11,"Lakhera et al, 2012 [20]",tba-co-XLS(10%),"{C=C(C)C(=C)OCOCCOC(=O)C(=C)C, C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OC(C)(C)C}",0.96:0.03:0.01,53.31,47.77
