No,Reference,SMPname,SMILES,Molar Ratio,X1,X2,X3,Tg,Glassy Modulus(GPa),Rubbery Modulus (MPa),Low Temp.,High Temp
1,"Feldkamp & Rousseau, 2011 [39]",E-148,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN}",0.67:0.33,0.67,0.33,0,102,1.704,23,76,127
2,"Feldkamp & Rousseau, 2011 [39]",E-176,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCCOCCOCCCN}",0.667:0.333,0.667,0.333,0,96,1.706,24.3,73,122
3,"Feldkamp & Rousseau, 2011 [39]",E-230,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.676:0.324,0.676,0.324,0,95,2.163,14.3,60,125
4,"Feldkamp & Rousseau, 2011 [39]",E-230(a),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.6774:0.3226,0.6774,0.3226,0,93,1.236,14.1,65,125
5,"Feldkamp & Rousseau, 2011 [39]",E-230(b),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.6875:0.3125,0.6875,0.3125,0,88,1.798,11.7,62,120
6,"Feldkamp & Rousseau, 2011 [39]",E-230(c),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N}",0.7127:0.2873,0.7127,0.2873,0,76,2.651,6.3,50,115
7,"Feldkamp & Rousseau, 2011 [39]",E-230(07)nDA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCN}",0.612:0.235:0.153,0.612,0.235,0.153,83,2.146,9.7,52,115
8,"Feldkamp & Rousseau, 2011 [39]",E-230(17)nDA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCN}",0.58:0.157:0.263,0.58,0.157,0.263,73,2.073,8.3,50,108
9,"Feldkamp & Rousseau, 2011 [39]",E-230(60)nDA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCN}",0.533:0.067:0.4,0.533,0.067,0.4,58,1.236,2.4,33,94
10,"Feldkamp & Rousseau, 2011 [39]",E-230(17)tDA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(C)N}",0.578:0.158:0.264,0.578,0.158,0.264,87,2.536,5.1,55,124
11,"Feldkamp & Rousseau, 2011 [39]",E-230(17)nBA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(C)N}",0.578:0.158:0.264,0.578,0.158,0.264,81,2.233,7.4,56,118
12,"Feldkamp & Rousseau, 2011 [39]",E-230(17)nHA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCCCCCCN}",0.63:0.14:0.23,0.63,0.14,0.23,62,1.928,6.4,31,103
13,"Feldkamp & Rousseau, 2011 [39]",D-148(10)230,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN, CC(N)COCC(C)OCC(C)OCC(C)N}",0.655:0.031:0.314,0.655,0.031,0.314,97,2.14,19.7,67,127
14,"Feldkamp & Rousseau, 2011 [39]",D-148(1)400,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN, CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N}",0.655:0.157:0.188,0.655,0.157,0.188,72,2.157,14.5,47,101
15,"Feldkamp & Rousseau, 2011 [39]",D-148(002)230,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN, CC(N)COCC(C)OCC(C)OCC(C)N}",0.655:0.338:0.007,0.655,0.338,0.007,102,1.705,26.4,71,129
